name,type,lon,lat
Admiralty,MRT,103.80100083161364,1.440604078818631
Aljunied,MRT,103.88290738373792,1.3164446220417074
Ang Mo Kio,MRT,103.84960436002912,1.3699762864190022
Bartley,MRT,103.87963259524027,1.34287906819673
Bayfront,MRT,103.85908361561864,1.2818986761208013
Bayshore,MRT,103.94176101043638,1.312828229384183
Beauty World,MRT,103.77586396935392,1.3411126694988622
Bedok,MRT,103.93019266444763,1.3240024486112445
Bedok North,MRT,103.91808568062734,1.3347381125857776
Bedok Reservoir,MRT,103.93253498039353,1.3365913007833583
Bencoolen,MRT,103.85016187664515,1.298566772533875
Bendemeer,MRT,103.8628272155235,1.3136896908372897
Bishan,MRT,103.8492513636678,1.3511676117467222
Boon Keng,MRT,103.86157193241945,1.3191520923241857
Boon Lay,MRT,103.70607736978678,1.338598887190741
Botanic Gardens,MRT,103.81514702247141,1.3219807660617744
Braddell,MRT,103.8469282013621,1.3403311151896
Bras Basah,MRT,103.85070929232789,1.2967788473285429
Bright Hill,MRT,103.83303890498195,1.3631925388879065
Buangkok,MRT,103.89309331676327,1.3827530327076347
Bugis,MRT,103.85587816320044,1.3007096615747142
Bukit Batok,MRT,103.74949798197139,1.3489853162359076
Bukit Gombak,MRT,103.7518823656005,1.3586847133246345
Bukit Panjang,MRT,103.76156236290535,1.3790823789011215
Buona Vista,MRT,103.79063875687358,1.3064189728731634
Caldecott,MRT,103.83951110280215,1.337638877938361
Canberra,MRT,103.82974802013116,1.4430950380016623
Cantonment,MRT,103.83667,1.27278
Cashew,MRT,103.76472989124667,1.3693171583302792
Changi Airport,MRT,103.98841523327741,1.3572524079420285
Chinatown,MRT,103.84332502804958,1.2843656622980038
Chinese Garden,MRT,103.73281714235314,1.3421785352674573
Choa Chu Kang,MRT,103.74438740888519,1.3850944313303064
City Hall,MRT,103.85254279000416,1.2928556968278675
Clarke Quay,MRT,103.84652020587134,1.2881502388288815
Clementi,MRT,103.7652330378251,1.315078451345497
Commonwealth,MRT,103.79829152569377,1.302446640196561
Dakota,MRT,103.88859754471898,1.3083882943435323
Dhoby Ghaut,MRT,103.84542097053824,1.2998186961711393
Dover,MRT,103.77864797566829,1.3113961391726194
Downtown,MRT,103.85285048337359,1.2794424729099774
Esplanade,MRT,103.85562271180297,1.2932188603263999
